name,composite_score,composite_rank,h_index,citations_per_paper,venue_diversity,total_paper_count,institution
Steven Bethard,0.7745168932263338,69.0,45,76.56989247311827,0.8696908586584576,186,University of Arizona
Eric Brill,0.774455598214079,70.0,39,186.0289855072464,0.8897025426129932,69,
O. Oktay,0.7739574631069467,71.0,34,132.1772151898734,0.8360419650225894,79,
Teven Le Scao,0.7738332171541206,72.0,18,215.3125,0.8533326694521176,48,
Jieyu Zhao,0.7706530057473637,73.0,13,121.38235294117646,0.928205831366975,34,UCLA
Holger Schwenk,0.7702653062352687,74.0,47,229.1377245508982,0.9095802104570604,167,
Stephen H. Bach,0.7696882203129392,75.0,25,154.48076923076923,0.9297909915641532,52,
Victor Zhong,0.7689994556571467,76.0,22,151.8780487804878,0.9256424155276598,41,University of Washington
Junyuan Xie,0.7689192136686233,77.0,22,87.97872340425532,0.876701112939602,94,
Chris S. Hulleman,0.7673435426420626,78.0,33,119.46987951807228,0.9636286978209656,83,
Debajyoti Datta,0.766221363942013,79.0,14,103.57627118644068,0.9193577076335152,59,
Yu Zhang,0.7659440530757871,80.0,31,124.1896551724138,0.909875223060391,58,
Yanis Labrak,0.7658489081107371,81.0,7,168.6,0.9575261403463023,15,
William Yang Wang,0.7632290553512695,82.0,58,64.25581395348837,0.7765592384877209,215,
Jacob Eisenstein,0.7624514241762333,83.0,53,70.93452380952381,0.828317157244893,168,
Pengfei Liu,0.7598709060974298,84.0,40,127.5050505050505,0.8018107476606204,99,
Zexian Zeng,0.7598474490493216,85.0,19,91.8076923076923,0.93004465328878,52,
Eneko Agirre,0.7591127284210829,86.0,56,59.875,0.8432652096079251,304,University of the Basque Country (UPV/EHU)
Batya Friedman,0.7579299731297563,87.0,48,86.18518518518519,0.8605832256272603,135,
Zhijian Liu,0.7573754061408928,88.0,23,210.15625,0.9397167748083826,32,Massachusetts Institute of Technology
Riccardo Miotto,0.7572825877576993,89.0,31,118.06451612903226,0.9626001735333608,62,
L. Briand,0.7572619204359015,90.0,86,57.80297397769517,0.8260934102226952,538,
Shaoxiong Ji,0.7571665333581515,91.0,22,76.46,0.9371150879577616,50,Technical University of Darmstadt
Yuhui Zhang,0.756676169073184,92.0,16,244.46666666666667,0.9267209661324796,30,Stanford University
D. Roth,0.75643171288587,93.0,94,60.2457337883959,0.7862266536349182,586,
Chen Luo,0.7561666666666667,94.0,2,160.33333333333334,0.9999999999999998,3,
Richard G. Netemeyer,0.7547821700631063,95.0,64,222.91176470588235,0.9704516348198234,136,
Weizhe Yuan,0.7541792040285283,96.0,10,209.82608695652175,0.9030899869919434,23,
Ryan T. McDonald,0.752347921730879,97.0,49,182.44,0.8694167359758651,100,
Zhengbao Jiang,0.7512554521885109,98.0,21,225.4516129032258,0.9328169654082606,31,
Loïc Barrault,0.7508445975256274,99.0,31,89.35576923076923,0.8908847882760411,104,"Meta AI, The University of Sheffield, Le Mans Université"
Bing Qin,0.7500208143550285,100.0,45,63.00854700854701,0.8442612156477922,234,
Brandon M Stewart,0.7498779275704286,101.0,26,152.77586206896552,0.9626504181195332,58,Princeton University
