name,h_index,h_index_rank,composite_score,composite_rank,total_citation_count,total_paper_count,venue_diversity,citations_per_paper,institution,rank_difference,abs_rank_difference
Simon Brandeis,2,903.0,0.6813333333333335,224.0,563,3,1.0,187.66666666666663,,679.0,679.0
James H. Martin,40,133.0,0.6807753884893011,225.0,11298,163,0.957968231691438,69.31288343558282,,-92.0,92.0
Michael Karlen,2,903.0,0.6804742501084006,226.0,7712,2,1.0,3856.0,,677.0,677.0
Minh Chien Vu,6,704.0,0.6803172035639466,227.0,2623,11,0.9629610647945144,238.45454545454547,,477.0,477.0
A. Wilson,57,61.0,0.679754726201136,228.0,13526,199,0.8419688589813652,67.96984924623115,,-167.0,167.0
Alexander M. Rush,5,764.0,0.6795087760732172,229.0,2280,10,0.8962406251802889,228.0,,535.0,535.0
Fangyu Liu,28,232.0,0.6793687347346272,230.0,3935,53,0.8585738468404093,74.24528301886792,Google DeepMind,2.0,2.0
B. Coecke,46,98.0,0.6793529184418462,231.0,8919,256,0.8836079312562617,34.83984375,,-133.0,133.0
Hanrui Wang,6,704.0,0.6789493287878388,232.0,1793,12,0.9825675930733636,149.41666666666666,,472.0,472.0
Tony Sun,6,704.0,0.6787588365058981,233.0,1056,7,0.9755037590061084,150.85714285714286,,471.0,471.0
Jonas Golde,4,809.0,0.6786343902923171,234.0,2241,9,0.8096568334164151,249.0,,575.0,575.0
David Barry,1,945.0,0.6780000000000002,235.0,624,2,1.0,312.0,,710.0,710.0
Jonathan Pelham,1,945.0,0.6780000000000002,235.0,624,2,1.0,312.0,,710.0,710.0
Eli Lifland,6,704.0,0.6775431982514593,237.0,971,7,1.0,138.71428571428572,Ought,467.0,467.0
Joe Davison,7,669.0,0.6767059523809524,238.0,2889,30,0.875,96.3,,431.0,431.0
Patrick Haller,4,809.0,0.6757367953256876,239.0,2264,8,0.8613531161467861,283.0,,570.0,570.0
Robert Tinn,7,669.0,0.6756146510030953,240.0,1953,15,0.9848586617875464,130.2,,429.0,429.0
Wanxiang Che,51,88.0,0.6746498751828163,241.0,10541,222,0.8163387395242736,47.48198198198198,,-153.0,153.0
M. Worring,45,102.0,0.6745564505825232,242.0,11974,362,0.8544394150735874,33.07734806629834,,-140.0,140.0
Alessandro Moschitti,52,85.0,0.6740897285268247,243.0,12951,347,0.8490214221105057,37.32276657060519,"Amazon, University of Trento",-158.0,158.0
Anthony Moi,3,852.0,0.6739857269791742,244.0,1986,20,0.946394630357186,99.3,,608.0,608.0
David Weiss,12,509.0,0.6736169729307413,245.0,2154,13,0.9131226292013046,165.69230769230768,,264.0,264.0
Edward Kim,7,669.0,0.6733532802243073,246.0,1203,12,0.979569764547061,100.25,,423.0,423.0
Suraj Patil,2,903.0,0.6729742501084005,247.0,562,5,1.0,112.4,,656.0,656.0
Clement Delangue,6,704.0,0.6729631981648674,248.0,3044,13,0.9528195311147832,234.15384615384616,,456.0,456.0
Julian R. Medina,3,852.0,0.6728333333333334,249.0,1291,3,0.9999999999999998,430.3333333333333,,603.0,603.0
James Bradbury,11,542.0,0.6725023104635324,250.0,49719,23,0.9407187364499412,2161.695652173913,,292.0,292.0
Zijie J. Wang,18,385.0,0.6724331432542291,251.0,2710,43,0.920711738527726,63.02325581395349,Georgia Tech,134.0,134.0
Dan Roth,5,764.0,0.6721537372878876,252.0,1760,9,1.0000000000000002,195.55555555555551,,512.0,512.0
Helen Christensen,2,903.0,0.6713333333333334,253.0,309,2,1.0,154.5,,650.0,650.0
M. Samwald,32,194.0,0.6712811836632805,254.0,6936,134,0.9249184340623526,51.76119402985075,,-60.0,60.0
Marc Pàmies,9,599.0,0.6712751379166703,255.0,2634,12,0.9206198357143052,219.5,,344.0,344.0
Y. Aloimonos,53,77.0,0.6709467372054672,256.0,10617,393,0.8836241490865602,27.01526717557252,,-179.0,179.0
C. Caucheteux,19,364.0,0.670788544298361,257.0,4381,40,0.9205706674788952,109.525,,107.0,107.0
Yaser Keneshloo,6,704.0,0.6694909356038469,258.0,767,9,0.9755037590061084,85.22222222222223,,446.0,446.0
Oyvind Tafjord,32,194.0,0.6684729899449464,259.0,8847,69,0.7527776831067071,128.2173913043478,,-65.0,65.0
S. D. Pietra,22,306.0,0.6678738533858604,260.0,14592,32,0.8745847873243199,456.0,,46.0,46.0
A. Korhonen,53,77.0,0.666890924183367,261.0,11770,252,0.8179973261485973,46.70634920634921,,-184.0,184.0
Tim Rault,3,852.0,0.6667857269791743,262.0,1987,17,0.946394630357186,116.88235294117646,,590.0,590.0
D. Maynard,37,150.0,0.6666105716514918,263.0,8207,166,0.9188153087976316,49.43975903614458,,-113.0,113.0
Marco Lippi,30,209.0,0.6656646575415429,264.0,7427,96,0.9718733556294984,77.36458333333333,,-55.0,55.0
Haoran Xie,43,111.0,0.6656590354126382,265.0,12243,299,0.9402181670507572,40.94648829431438,,-154.0,154.0
Lingfei Wu,41,124.0,0.6642940861134697,266.0,6865,185,0.8378597622841686,37.108108108108105,,-142.0,142.0
Natasha Seelam,6,704.0,0.6637123453464957,267.0,2299,7,1.0,328.42857142857144,,437.0,437.0
Martha Palmer,63,48.0,0.6637090465393943,268.0,24845,380,0.8801068173848751,65.38157894736842,,-220.0,220.0
Marianna Nezhurina,6,704.0,0.6622751379166701,269.0,2409,6,0.9206198357143048,401.5,,435.0,435.0
Jin Yong Yoo,5,764.0,0.6619744097496706,270.0,979,8,0.9697238998682473,122.375,,494.0,494.0
Jack Hessel,28,232.0,0.661713226776564,271.0,5129,58,0.8317729482609157,88.43103448275862,AI2,-39.0,39.0
Victor Sanh,13,473.0,0.6615827586646509,272.0,11871,36,0.9080630942453352,329.75,,201.0,201.0
Emma Strubell,21,321.0,0.6611695648771704,273.0,6005,77,0.7513126974272389,77.98701298701299,,48.0,48.0
Nizar Habash,60,50.0,0.6607414888635929,274.0,12401,315,0.8267661863201355,39.36825396825397,,-224.0,224.0
Lewis Tunstall,8,635.0,0.6603082828934832,275.0,1200,10,0.881353453268883,120.0,,360.0,360.0
Justin Grimmer,26,255.0,0.6601479265500361,276.0,5817,91,0.951098017617244,63.92307692307692,,-21.0,21.0
Tianxiang Sun,20,350.0,0.6596392874525481,277.0,3134,45,0.8387394659819745,69.64444444444445,,73.0,73.0
A. Le Glaz,3,852.0,0.6595,278.0,355,4,0.9999999999999998,88.75,,574.0,574.0
S. Bakken,56,65.0,0.6587188476021806,279.0,12826,359,0.7132012519086149,35.72701949860724,,-214.0,214.0
Chenliang Li,41,124.0,0.658384351376425,280.0,7315,148,0.908442283299395,49.42567567567568,,-156.0,156.0
Daniel Le'on Perin'an,2,903.0,0.6580000000000001,281.0,2229,2,1.0,1114.5,,622.0,622.0
Shlok S Deshmukh,2,903.0,0.6580000000000001,281.0,2229,2,1.0,1114.5,,622.0,622.0
Elior Sulem,11,542.0,0.6579892387044176,283.0,1577,18,0.9483627932161026,87.61111111111111,,259.0,259.0
Xiang Ren,38,146.0,0.6575200659713449,284.0,6246,132,0.7357769247077731,47.31818181818182,,-138.0,138.0
Ruisi Su,4,809.0,0.6570851152862655,285.0,2372,7,0.9697238998682473,338.85714285714283,,524.0,524.0
Emily M. Bender,28,232.0,0.6565407185109835,286.0,8897,130,0.909321192470536,68.43846153846154,University of Washington,-54.0,54.0
Michael R. Lucas,4,809.0,0.6557469773811277,287.0,1636,4,1.0,409.0,Truveta,522.0,522.0
Shrimai Prabhumoye,19,364.0,0.6549515694354316,288.0,3938,52,0.8394370688167885,75.73076923076923,,76.0,76.0
C. Bauckhage,46,98.0,0.6546238144095337,289.0,9988,359,0.8911223707373537,27.821727019498606,,-191.0,191.0
Xingjian Shi,15,437.0,0.6545625540772881,290.0,10784,22,0.9004593109096882,490.1818181818182,,147.0,147.0
V. D. Pietra,20,350.0,0.6544220684057721,291.0,17456,27,0.8307343690684712,646.5185185185185,,59.0,59.0
Fabio Barth,4,809.0,0.6538253738618586,292.0,2255,11,0.8322488896002306,205.0,,517.0,517.0
Joel Grus,6,704.0,0.6529675451609925,293.0,1680,11,0.946394630357186,152.72727272727272,,411.0,411.0
Anupam Datta,38,146.0,0.6526158396094012,294.0,6944,150,0.9054854550624426,46.29333333333334,,-148.0,148.0
Daniel Preotiuc-Pietro,34,164.0,0.6526096419711812,295.0,4315,75,0.8767131934551353,57.53333333333333,,-131.0,131.0
Julien Chaumond,7,669.0,0.6517491638592482,296.0,9931,34,0.9122066329329884,292.0882352941176,,373.0,373.0
J. Kalita,43,111.0,0.6516468691984899,297.0,9828,323,0.937200580760278,30.427244582043343,,-186.0,186.0
Walter Daelemans,64,44.0,0.6515302410527029,298.0,15370,571,0.898633789021455,26.91768826619965,University of Antwerp,-254.0,254.0
Jiaao Chen,18,385.0,0.6504222916945995,299.0,2415,33,0.875629146732344,73.18181818181819,Georgia Institute of Technology,86.0,86.0
Rafael A. Calvo,2,903.0,0.6503333333333333,300.0,310,3,0.9999999999999998,103.33333333333331,,603.0,603.0
Zhenzhu Yang,3,852.0,0.6501190603125077,301.0,621,4,0.946394630357186,155.25,,551.0,551.0
Kareem Darwish,41,124.0,0.649443403242894,302.0,6834,142,0.9170528440803002,48.12676056338028,,-178.0,178.0
Palash Goyal,15,437.0,0.6477174703892928,303.0,3444,61,0.90386296915048,56.459016393442624,Amazon Alexa AI-NU,134.0,134.0
Trishala Neeraj,8,635.0,0.6477075597344912,304.0,5552,15,0.8983289127685204,370.1333333333333,,331.0,331.0
V. Castro,38,146.0,0.647574489717618,305.0,5553,117,0.9101340213184496,47.46153846153846,,-159.0,159.0
Leon Derczynski,32,194.0,0.6469747739746152,306.0,5805,145,0.8393662030414725,40.03448275862069,IT University of Copenhagen,-112.0,112.0
Chi-Min Chan,8,635.0,0.646337043152578,307.0,1495,17,0.7742367184132575,87.94117647058823,,328.0,328.0
Yiming Cui,23,291.0,0.6460690346700694,308.0,4262,59,0.8431896502789532,72.23728813559322,iFLYTEK Research,-17.0,17.0
Myungsun Kang,3,852.0,0.6459266437542414,309.0,2249,5,0.946394630357186,449.8,,543.0,543.0
R. Aharonov,32,194.0,0.6455911119320046,310.0,7294,95,0.8874305721779325,76.77894736842106,,-116.0,116.0
Shijie Geng,28,232.0,0.6454467449057885,311.0,3862,59,0.8991853788226549,65.45762711864407,,-79.0,79.0
C. Bearden,79,28.0,0.6448738571481268,312.0,24158,539,0.8058456209320177,44.82003710575139,,-284.0,284.0
Y. Wilks,55,68.0,0.6448028980307917,313.0,11015,478,0.9142917964604886,23.043933054393307,,-245.0,245.0
Xieling Chen,25,266.0,0.644645031938392,314.0,2687,76,0.9600230778475112,35.35526315789474,,-48.0,48.0
Mengzhou Xia,19,364.0,0.6443799784049281,315.0,2174,30,0.9219808289805416,72.46666666666667,,49.0,49.0
Yingqiang Ge,26,255.0,0.6435421251402451,316.0,2795,46,0.8757441467086735,60.76086956521739,,-61.0,61.0
John Bauer,11,542.0,0.6434612240349277,317.0,9389,15,0.9708357627258162,625.9333333333333,,225.0,225.0
Morgan Funtowicz,2,903.0,0.6430000000000001,318.0,1884,5,1.0,376.8,,585.0,585.0
Sid Kiblawi,3,852.0,0.6429453226148755,319.0,2290,7,0.9165164431996023,327.14285714285717,,533.0,533.0
Kenneth Heafield,29,218.0,0.6429427119314117,320.0,7652,96,0.8593310971700843,79.70833333333333,,-102.0,102.0
D. Litman,55,68.0,0.6427133254652294,321.0,11702,316,0.8668415952503883,37.03164556962025,,-253.0,253.0
J. Zucker,32,194.0,0.6425193732204943,322.0,6043,141,0.9031149892119652,42.8581560283688,,-128.0,128.0
Yankai Lin,25,266.0,0.6423144296367844,323.0,3383,60,0.8605585541859484,56.38333333333333,,-57.0,57.0
M. Costa-jussà,31,202.0,0.6421753766106902,324.0,6151,245,0.8620322947194584,25.10612244897959,,-122.0,122.0
T. Laino,34,164.0,0.6408028601800486,325.0,7079,121,0.9514881614483792,58.50413223140496,,-161.0,161.0
J. Kors,59,53.0,0.6407013321802836,326.0,15201,312,0.9235636772339214,48.72115384615385,,-273.0,273.0
G. Baumer,2,903.0,0.6404742501084005,327.0,426,2,1.0,213.0,,576.0,576.0
Katharina Kann,25,266.0,0.6398058249106041,328.0,2837,76,0.8706563961605142,37.328947368421055,,-62.0,62.0
Mai Elsherief,13,473.0,0.6397766044632844,329.0,1579,21,0.957735598419171,75.19047619047619,,144.0,144.0
Roi Reichart,41,124.0,0.6394599016571207,330.0,7018,141,0.7886685280984242,49.773049645390074,,-206.0,206.0
E. Simperl,39,138.0,0.6382425626640569,331.0,7553,356,0.931886373005943,21.21629213483146,,-193.0,193.0
He He,14,455.0,0.6380241660190358,332.0,1413,17,0.949942013220056,83.11764705882354,,123.0,123.0
Tatjana Schindler,1,945.0,0.6374769429773366,333.0,76,1,0.9198682455847804,76.0,,612.0,612.0
Robert Martin,6,704.0,0.6373333333333334,334.0,2398,6,1.0,399.6666666666667,,370.0,370.0
Prithviraj Sen,26,255.0,0.6371084636676928,335.0,7768,116,0.6667719544010462,66.96551724137932,,-80.0,80.0
Karthi Sivaraman,3,852.0,0.6369742501084005,336.0,2319,3,0.9999999999999998,773.0,,516.0,516.0
Mario vSavsko,4,809.0,0.6367857269791742,337.0,2922,4,0.946394630357186,730.5,,472.0,472.0
A. Bulling,59,53.0,0.6359875947328965,338.0,14788,242,0.8658105359378246,61.10743801652893,,-285.0,285.0
Quan Z. Sheng,59,53.0,0.6354075045334064,339.0,16346,533,0.9059792494119728,30.66791744840525,"School of Computing, Macquarie University, North Ryde, NSW, Australia",-286.0,286.0
Quentin Lhoest,9,599.0,0.6338681869070639,340.0,4999,18,0.9122066329329884,277.72222222222223,,259.0,259.0
Pradeep Dasigi,21,321.0,0.6338294483515624,341.0,4391,54,0.8333078596903469,81.31481481481481,Allen Institute for Artificial Intelligence,-20.0,20.0
Stas Bekman,6,704.0,0.6336205053812578,342.0,3061,16,0.9211854965885544,191.3125,,362.0,362.0
Andre F. T. Martin,1,945.0,0.6334769429773366,343.0,231,1,0.9198682455847804,231.0,,602.0,602.0
Jael Pérez Sánchez,1,945.0,0.6334769429773366,343.0,158,1,0.9198682455847804,158.0,,602.0,602.0
Hussen Maulud,1,945.0,0.6334769429773366,343.0,135,1,0.9198682455847804,135.0,,602.0,602.0
†. AlessioFerrari,1,945.0,0.6334769429773366,343.0,121,1,0.9198682455847804,121.0,,602.0,602.0
th Karzan,1,945.0,0.6334769429773366,343.0,135,1,0.9198682455847804,135.0,,602.0,602.0
Consiglio,1,945.0,0.6334769429773366,343.0,121,1,0.9198682455847804,121.0,,602.0,602.0
Gabriel Altay,3,852.0,0.6327906096233515,349.0,2239,7,0.8962406251802889,319.85714285714283,,503.0,503.0
Pierric Cistac,4,809.0,0.6325370327923039,350.0,2545,11,0.8649735207179272,231.36363636363637,,459.0,459.0
F. Silvestri,44,108.0,0.6322662287252546,351.0,5648,184,0.9177497592335204,30.695652173913043,,-243.0,243.0
Mark Neumann,8,635.0,0.6321949398788751,352.0,14436,16,0.94268071481726,902.25,Allen Institute for AI,283.0,283.0
N. Broad,4,809.0,0.6321111111111111,353.0,2243,5,1.0,448.6,,456.0,456.0
Julia Hirschberg,70,36.0,0.6318837479713557,354.0,21522,357,0.7839005008316661,60.285714285714285,,-318.0,318.0
Zhuosheng Zhang,30,209.0,0.6318032669856184,355.0,4628,104,0.8004258573868527,44.5,Shanghai Jiao Tong University,-146.0,146.0
Katikapalli Subramanyam Kalyan,6,704.0,0.6315556866068457,356.0,515,8,0.967132018086354,64.375,NIT Trichy,348.0,348.0
A. Callahan,24,281.0,0.6314571403333326,357.0,3999,73,0.9672204698431712,54.78082191780822,,-76.0,76.0
M. Freidank,3,852.0,0.630189075883266,358.0,2247,6,1.0000000000000002,374.5,,494.0,494.0
Hefu Liu,41,124.0,0.6301829189153461,359.0,6608,158,0.8525909181987811,41.822784810126585,,-235.0,235.0
Yuxin Huang,3,852.0,0.6290501121694488,360.0,569,4,0.946394630357186,142.25,,492.0,492.0
Hao Cheng,26,255.0,0.6280853782818349,361.0,4428,56,0.8652546963531336,79.07142857142857,Microsoft Research,-106.0,106.0
Evgeny Burnaev,33,182.0,0.6280098022018553,362.0,4632,201,0.8471207113753021,23.044776119402982,Skoltech,-180.0,180.0
Sylvain Gugger,4,809.0,0.6279778930073577,363.0,2548,31,0.8649735207179272,82.19354838709677,,446.0,446.0
Sarah Al-Adely,3,852.0,0.6267857269791742,364.0,1745,4,0.946394630357186,436.25,,488.0,488.0
Walt Detmar Meurers,39,138.0,0.6266117056929732,365.0,5954,225,0.912246722129582,26.462222222222223,,-227.0,227.0
J. Posada,2,903.0,0.6261585777874602,366.0,2232,8,0.9591479170272448,279.0,,537.0,537.0
Jing Qian,8,635.0,0.6254446719252754,367.0,814,10,0.9172088932791936,81.4,University of California Santa Barbara,268.0,268.0
Reid Pryzant,8,635.0,0.6248733870419629,368.0,717,10,0.979569764547061,71.7,,267.0,267.0
Xiaodong Liu,37,150.0,0.624835643326824,369.0,12481,485,0.961075679718219,25.734020618556706,,-219.0,219.0
Thien Huu Nguyen,38,146.0,0.6247990787878435,370.0,6369,139,0.8700032237874931,45.82014388489208,University of Oregon,-224.0,224.0
K. Cohen,37,150.0,0.6246325110275427,371.0,5930,177,0.9221289471183725,33.50282485875706,,-221.0,221.0
E. Olivetti,42,119.0,0.6246076255970775,372.0,6524,158,0.9503333668856772,41.29113924050633,,-253.0,253.0
Jian Guo,9,599.0,0.6237380354288775,373.0,942,12,0.8165982976888233,78.5,,226.0,226.0
Jason Bolton,5,764.0,0.6237017709595357,374.0,2229,8,0.9182958340544894,278.625,,390.0,390.0
Ge Zhang,24,281.0,0.62350483617485,375.0,2883,55,0.7694302326874536,52.41818181818182,01.ai,-94.0,94.0
Daniel Coelho de Castro,14,455.0,0.6231935810316087,376.0,2089,29,0.929338152481406,72.03448275862068,Microsoft Research,79.0,79.0
Nina Arya,2,903.0,0.6230000000000001,377.0,463,3,1.0,154.33333333333334,,526.0,526.0
Rémi Louf,12,509.0,0.6228744645951203,378.0,2862,37,0.9619555747789698,77.35135135135135,,131.0,131.0
E. Fox,55,68.0,0.6226108357481722,379.0,14460,598,0.8233743176156852,24.180602006688964,,-311.0,311.0
Dayiheng Liu,16,418.0,0.6222720006658581,380.0,2383,36,0.9261517921065268,66.19444444444444,Alibaba Group,38.0,38.0
Jessica Pan,2,903.0,0.6219485002168009,381.0,337,3,0.9999999999999998,112.33333333333331,,522.0,522.0
Junyu Chen,4,809.0,0.6210445507916122,382.0,488,7,0.9755037590061084,69.71428571428571,,427.0,427.0
W. Zeng,18,385.0,0.6204499857719126,383.0,2363,42,0.9377097375926834,56.26190476190476,,2.0,2.0
Yu Chen,10,570.0,0.6198002454319753,384.0,1113,16,0.9902871167541444,69.5625,,186.0,186.0
Ekaterina Shutova,35,159.0,0.6193360498054918,385.0,4997,97,0.8775546312852531,51.51546391752577,,-226.0,226.0
T. Guetterman,23,291.0,0.6191141006224481,386.0,3971,150,0.9033134315088444,26.473333333333333,,-95.0,95.0
R. Sipio,60,50.0,0.6189386112135393,387.0,21738,348,0.7395336233922555,62.46551724137931,,-337.0,337.0
J. Devylder,40,133.0,0.6183811258290769,388.0,5223,212,0.8394824440906818,24.63679245283019,,-255.0,255.0
M. Hunink,4,809.0,0.6175,389.0,517,6,0.9999999999999998,86.16666666666667,,420.0,420.0
Shay B. Cohen,34,164.0,0.6169604134785002,390.0,6648,166,0.7917022421849401,40.04819277108434,,-226.0,226.0
Guoping Hu,28,232.0,0.6165916686571291,391.0,4750,87,0.9181820350278675,54.59770114942529,,-159.0,159.0
Sijia Liu,23,291.0,0.6163129091908301,392.0,3413,124,0.9169843664464052,27.524193548387096,Mayo Clinic,-101.0,101.0
Vasileios Lampos,26,255.0,0.6152882190001344,393.0,4061,72,0.9069790572590468,56.40277777777778,"Department of Computer Science, University College London",-138.0,138.0
Prithviraj Ammanabrolu,23,291.0,0.614317597722214,394.0,2253,37,0.9091253441705156,60.891891891891895,,-103.0,103.0
James Thorne,14,455.0,0.6142203537481995,395.0,1306,21,0.9015719980879128,62.19047619047619,,60.0,60.0
Zuohui Fu,25,266.0,0.6137130954663604,396.0,2401,47,0.8891982045311888,51.08510638297872,,-130.0,130.0
Shirlyn Tang,3,852.0,0.6137017709595357,397.0,566,3,0.9182958340544894,188.66666666666663,,455.0,455.0
Nikolaos Tsantalis,30,209.0,0.6134970329263395,398.0,3927,66,0.9170505311293043,59.5,,-189.0,189.0
Luis Espinosa-Anke,5,764.0,0.6131000000000002,399.0,819,10,1.0,81.9,,365.0,365.0
Jan Hajic,46,98.0,0.6128588012576681,400.0,10345,248,0.8691584812426518,41.71370967741935,,-302.0,302.0
Nikolaos Aletras,28,232.0,0.6110517297997206,401.0,4022,109,0.8392636838880388,36.89908256880734,University of Sheffield,-169.0,169.0
Arzucan Özgür,29,218.0,0.6104889187269882,402.0,4667,127,0.9280009352578836,36.74803149606299,,-184.0,184.0
Nianwen Xue,37,150.0,0.6104086781145239,403.0,6348,134,0.8997449671452451,47.37313432835821,,-253.0,253.0
Hongfang Liu,52,85.0,0.6098293112994667,404.0,11287,495,0.814891567712878,22.8020202020202,,-319.0,319.0
W. Thompson,2,903.0,0.6093333333333334,405.0,169,2,1.0,84.5,,498.0,498.0
V. Mittal,48,94.0,0.6088705846961869,406.0,8421,341,0.7743133656377906,24.6950146627566,,-312.0,312.0
Alexandru Salcianu,12,509.0,0.6080640781685103,407.0,1275,17,0.9825675930733636,75.0,,102.0,102.0
Zongcheng Ji,7,669.0,0.6071932726062345,408.0,589,8,0.9306282244165778,73.625,,261.0,261.0
H. A. Schwartz,41,124.0,0.6070397493751649,409.0,8552,149,0.9320162167317544,57.395973154362416,,-285.0,285.0
Longxiang Gao,32,194.0,0.6063977283603973,410.0,4612,195,0.920197680677354,23.651282051282053,,-216.0,216.0
E. Boyer,45,102.0,0.6062047839157073,411.0,6984,184,0.8701741768482892,37.95652173913044,,-309.0,309.0
Subhi R. M. Zeebaree,34,164.0,0.6053976926401754,412.0,3405,128,0.9363936779458968,26.6015625,,-248.0,248.0
T. Y. Han,21,321.0,0.6033589804552757,413.0,2878,38,0.9668633469624776,75.73684210526316,,-92.0,92.0
Xavier Franch,44,108.0,0.6030012604933546,414.0,7072,419,0.8954173378133745,16.878281622911693,,-306.0,306.0
F. Dalpiaz,34,164.0,0.6021684302139276,415.0,3596,192,0.8948475141177163,18.729166666666668,,-251.0,251.0
N. Patry,3,852.0,0.6020847828914594,416.0,2963,9,0.8112781244591328,329.22222222222223,,436.0,436.0
P. Kantor,27,244.0,0.6017226273766557,417.0,9564,197,0.8830250785709343,48.54822335025381,,-173.0,173.0
F. Matthes,37,150.0,0.6016035285265675,418.0,6078,418,0.9227024189292196,14.54066985645933,,-268.0,268.0
Shijin Wang,21,321.0,0.6011463319654872,419.0,3265,56,0.8501555724428906,58.30357142857143,,-98.0,98.0
F. Shen,24,281.0,0.6010333251496038,420.0,2900,109,0.9043478264366912,26.605504587155963,,-139.0,139.0
Amir Pouran Ben Veyseh,19,364.0,0.6006352456953902,421.0,2029,41,0.9396219823746133,49.48780487804878,,-57.0,57.0
G. Savova,58,58.0,0.6005107054976345,422.0,11423,218,0.8720075456972941,52.39908256880734,,-364.0,364.0
Daniel King,9,599.0,0.6001751666217755,423.0,1050,13,0.9713256910609174,80.76923076923077,Databricks,176.0,176.0
M. S. Hussain,5,764.0,0.5991342145025151,424.0,438,5,0.9999999999999998,87.6,,340.0,340.0
Ruochen Xu,19,364.0,0.5989414734011146,425.0,2341,34,0.8659277323056428,68.8529411764706,Om AI,-61.0,61.0
Antonios Anastasopoulos,29,218.0,0.5975982388613684,426.0,3320,102,0.8764471476586136,32.549019607843135,Carnegie Mellon University,-208.0,208.0
Kanchan M.Tarwani,1,945.0,0.5974769429773366,427.0,66,1,0.9198682455847804,66.0,,518.0,518.0
Swabha Swayamdipta,14,455.0,0.597154098546092,428.0,1401,20,0.9023307417467612,70.05,,27.0,27.0
P. Wolff,30,209.0,0.5969116479674128,429.0,4333,75,0.8361600347642504,57.77333333333333,,-220.0,220.0
Anna Rumshisky,33,182.0,0.5968169018910604,430.0,5593,125,0.8683939043374399,44.744,,-248.0,248.0
Wangchunshu Zhou,22,306.0,0.5965738492632771,431.0,2045,45,0.8381460021259081,45.44444444444444,AIWaves,-125.0,125.0
Philipp Schmid,9,599.0,0.5948734787371873,432.0,1116,15,0.9349775297671232,74.4,,167.0,167.0
J. Cole,41,124.0,0.5946080933086549,433.0,6954,219,0.9092008013165686,31.753424657534246,,-309.0,309.0
M. Yin,37,150.0,0.5937133568774744,434.0,5517,192,0.8632710862994699,28.734375,,-284.0,284.0
Francesco Barbieri,13,473.0,0.5933905260927763,435.0,1623,24,0.952196813909952,67.625,,38.0,38.0
Ning Dai,6,704.0,0.5928369558771783,436.0,1689,22,0.9780322003526132,76.77272727272727,Oregon State University,268.0,268.0
Yulia Tsvetkov,24,281.0,0.5928241594432125,437.0,2709,46,0.8613733788861407,58.891304347826086,,-156.0,156.0
Clara Ma,4,809.0,0.592787755921692,438.0,1997,28,0.9609640474436812,71.32142857142857,,371.0,371.0
L. Hunter,41,124.0,0.592086830650624,439.0,6398,182,0.859568154550718,35.15384615384615,,-315.0,315.0
Serguei V. S. Pakhomov,34,164.0,0.5914319476793306,440.0,5772,176,0.8573250738073782,32.79545454545455,,-276.0,276.0
Yanshan Wang,21,321.0,0.5897084589956232,441.0,2254,94,0.912592322742916,23.97872340425532,,-120.0,120.0
Leonard Lausen,7,669.0,0.5892405295534762,442.0,1123,13,0.8592975083332075,86.38461538461539,,227.0,227.0
Emily Pitler,22,306.0,0.5860518184552171,443.0,3658,52,0.8140632418683257,70.34615384615384,,-137.0,137.0
Gonzalo Medina,2,903.0,0.5860000000000001,444.0,139,2,1.0,69.5,,459.0,459.0
C. Corcoran,49,91.0,0.5847571733117022,445.0,10219,221,0.7942594825439981,46.23981900452489,,-354.0,354.0
A. Nori,9,599.0,0.584662159263523,446.0,1073,15,0.9837273962594127,71.53333333333333,,153.0,153.0
Bo Zhao,3,852.0,0.5844666666666667,447.0,371,5,1.0,74.2,,405.0,405.0
R. Sifa,26,255.0,0.5840139917056869,448.0,2558,183,0.874508685777029,13.978142076502731,,-193.0,193.0
D. Klakow,33,182.0,0.5824488190000102,449.0,5540,350,0.8809435350638909,15.82857142857143,,-267.0,267.0
Hamdy Mubarak,34,164.0,0.5823207927509817,450.0,4214,95,0.9263924701750048,44.357894736842105,,-286.0,286.0
P. Kummervold,19,364.0,0.5812660699621546,451.0,2284,35,0.9451982747224832,65.25714285714285,,-87.0,87.0
T. McCoy,25,266.0,0.5805738557688993,452.0,2256,107,0.940061832078685,21.08411214953271,,-186.0,186.0
Canwen Xu,7,669.0,0.5795992199446506,453.0,2265,41,0.9690222556651344,55.24390243902439,,216.0,216.0
Ivan Vulic,53,77.0,0.5791018518456603,454.0,10779,241,0.7940355467166227,44.726141078838175,,-377.0,377.0
Ramakanth Kavuluru,28,232.0,0.5790253131748163,455.0,2844,110,0.9273081781630704,25.854545454545455,,-223.0,223.0
Aurélie Névéol,32,194.0,0.5790164599005424,456.0,4257,144,0.8897469911180769,29.5625,,-262.0,262.0
Yonghui Wu,34,164.0,0.5780671446295801,457.0,3602,90,0.856021453803754,40.022222222222226,,-293.0,293.0
R. Batista-Navarro,22,306.0,0.5778682289077005,458.0,2002,157,0.92975976688165,12.751592356687896,,-152.0,152.0
G. Cecchi,39,138.0,0.5776271981512888,459.0,6904,204,0.9339333927330816,33.84313725490196,,-321.0,321.0
Stephanie L. Hyland,15,437.0,0.5774270873539875,460.0,2077,36,0.8528185338052203,57.69444444444444,Microsoft Research Cambridge,-23.0,23.0
