name,h_index,h_index_rank,composite_score,composite_rank,total_citation_count,total_paper_count,venue_diversity,citations_per_paper,institution,rank_difference,abs_rank_difference
R. Collobert,53,77.0,0.8003950362737364,52.0,37707,141,0.8314405303343353,267.4255319148936,,25.0,25.0
Mark Johnson,54,72.0,0.7977646268397804,53.0,18729,236,0.8723079099469023,79.36016949152543,,19.0,19.0
Mohit Iyyer,42,119.0,0.7960602941199842,54.0,20595,114,0.7180256951091788,180.6578947368421,,65.0,65.0
Michihiro Yasunaga,33,182.0,0.7947880489955644,55.0,13981,74,0.8784812531861971,188.9324324324324,,127.0,127.0
Margaret E. Roberts,28,232.0,0.7922818282521524,56.0,9839,48,0.9533031244083686,204.97916666666663,,176.0,176.0
Matthew E. Peters,34,164.0,0.7919362649015811,57.0,23097,83,0.9118482000892404,278.27710843373495,Allen Institute for Artificial Intelligence,107.0,107.0
Alexander M. Rush,57,61.0,0.7918906416406006,58.0,24080,138,0.7812457826431783,174.4927536231884,Cornell Tech,3.0,3.0
Xipeng Qiu,59,53.0,0.7912852565053713,59.0,18898,246,0.7656083613562938,76.82113821138212,Fudan University,-6.0,6.0
Yoav Goldberg,51,88.0,0.7912215044291248,60.0,20377,120,0.8327885191895417,169.80833333333334,Bar-Ilan University,28.0,28.0
Hoifung Poon,43,111.0,0.7894141010788073,61.0,10695,115,0.8398367786493184,93.0,,50.0,50.0
Canwen Xu,18,385.0,0.788591328935435,62.0,5928,30,0.9137080707266794,197.6,,323.0,323.0
Hinrich Schütze,67,39.0,0.7863560159926608,63.0,27263,431,0.7724700617741516,63.25522041763341,,-24.0,24.0
Yuhao Zhang,19,364.0,0.7846758552761062,64.0,5494,42,0.967839575350826,130.8095238095238,"AWS AI, Stanford University",300.0,300.0
Thomas Wolf,16,418.0,0.7813723639264006,65.0,13534,103,0.9073913120692374,131.39805825242718,HuggingFace Inc.,353.0,353.0
Pavel P. Kuksa,19,364.0,0.7803153300208792,66.0,10955,82,0.8869602687611484,133.59756097560975,,298.0,298.0
Devamanyu Hazarika,27,244.0,0.7777648669964737,67.0,9596,54,0.914618612970492,177.7037037037037,National University of Singapore,177.0,177.0
Yifan Peng,29,218.0,0.7774534330686803,68.0,7130,93,0.9221431518002916,76.66666666666667,Weill Cornell Medicine,150.0,150.0
Steven Bethard,45,102.0,0.7745168932263338,69.0,14242,186,0.8696908586584576,76.56989247311827,University of Arizona,33.0,33.0
Eric Brill,39,138.0,0.774455598214079,70.0,12836,69,0.8897025426129932,186.0289855072464,,68.0,68.0
O. Oktay,34,164.0,0.7739574631069467,71.0,10442,79,0.8360419650225894,132.1772151898734,,93.0,93.0
Teven Le Scao,18,385.0,0.7738332171541206,72.0,10335,48,0.8533326694521176,215.3125,,313.0,313.0
Jieyu Zhao,13,473.0,0.7706530057473637,73.0,4127,34,0.928205831366975,121.38235294117646,UCLA,400.0,400.0
Holger Schwenk,47,96.0,0.7702653062352687,74.0,38266,167,0.9095802104570604,229.1377245508982,,22.0,22.0
Stephen H. Bach,25,266.0,0.7696882203129392,75.0,8033,52,0.9297909915641532,154.48076923076923,,191.0,191.0
Victor Zhong,22,306.0,0.7689994556571467,76.0,6227,41,0.9256424155276598,151.8780487804878,University of Washington,230.0,230.0
Junyuan Xie,22,306.0,0.7689192136686233,77.0,8270,94,0.876701112939602,87.97872340425532,,229.0,229.0
Chris S. Hulleman,33,182.0,0.7673435426420626,78.0,9916,83,0.9636286978209656,119.46987951807228,,104.0,104.0
Debajyoti Datta,14,455.0,0.766221363942013,79.0,6111,59,0.9193577076335152,103.57627118644068,,376.0,376.0
Yu Zhang,31,202.0,0.7659440530757871,80.0,7203,58,0.909875223060391,124.1896551724138,,122.0,122.0
Yanis Labrak,7,669.0,0.7658489081107371,81.0,2529,15,0.9575261403463023,168.6,,588.0,588.0
William Yang Wang,58,58.0,0.7632290553512695,82.0,13815,215,0.7765592384877209,64.25581395348837,,-24.0,24.0
Jacob Eisenstein,53,77.0,0.7624514241762333,83.0,11917,168,0.828317157244893,70.93452380952381,,-6.0,6.0
Pengfei Liu,40,133.0,0.7598709060974298,84.0,12623,99,0.8018107476606204,127.5050505050505,,49.0,49.0
