name,h_index,h_index_rank,total_citation_count,total_paper_count,institution
Pierre Zweigenbaum,39,138.0,6024,337,
M. Soltanolkotabi,39,138.0,7169,99,
Anupam Datta,38,146.0,6944,150,
V. Castro,38,146.0,5553,117,
Xiang Ren,38,146.0,6246,132,
Thien Huu Nguyen,38,146.0,6369,139,University of Oregon
K. Cohen,37,150.0,5930,177,
F. Matthes,37,150.0,6078,418,
Nianwen Xue,37,150.0,6348,134,
M. Yin,37,150.0,5517,192,
Xiaodong Liu,37,150.0,12481,485,
D. Maynard,37,150.0,8207,166,
N. Slonim,36,156.0,6567,130,
Zhiyuan Liu,36,156.0,6181,130,
Preslav Nakov,36,156.0,4124,205,
Ekaterina Shutova,35,159.0,4997,97,
José Camacho-Collados,35,159.0,5568,121,
Nancy Ide,35,159.0,5595,165,
Bill Yuchen Lin,35,159.0,5863,64,Allen Institute for AI (AI2)
Shaodan Ma,35,159.0,4405,304,
Matthew E. Peters,34,164.0,23097,83,Allen Institute for Artificial Intelligence
M. Sabetzadeh,34,164.0,3807,142,
Shay B. Cohen,34,164.0,6648,166,
J. King,34,164.0,5879,82,
Vijay V. Raghavan,34,164.0,6260,274,
Serguei V. S. Pakhomov,34,164.0,5772,176,
O. Oktay,34,164.0,10442,79,
Thomas Wolf,34,164.0,5731,338,
F. Dalpiaz,34,164.0,3596,192,
Hamdy Mubarak,34,164.0,4214,95,
M. Dras,34,164.0,3143,169,
Claire Grover,34,164.0,3971,142,
Vicente Ordonez,34,164.0,13044,82,Rice University
Kemal Oflazer,34,164.0,4465,160,
Subhi R. M. Zeebaree,34,164.0,3405,128,
Daniel Preotiuc-Pietro,34,164.0,4315,75,
T. Laino,34,164.0,7079,121,
Yonghui Wu,34,164.0,3602,90,
Evgeny Burnaev,33,182.0,4632,201,Skoltech
Anna Rumshisky,33,182.0,5593,125,
Paolo Torroni,33,182.0,4172,226,
D. Klakow,33,182.0,5540,350,
Michihiro Yasunaga,33,182.0,13981,74,
Chris S. Hulleman,33,182.0,9916,83,
Dat Quoc Nguyen,33,182.0,4668,75,
Jianxi Luo,33,182.0,2772,129,
Kirk Roberts,33,182.0,4445,153,
L. Blessing,33,182.0,5396,172,
Fu Lee Wang,33,182.0,3718,306,The Open University of Hong Kong
M. Saraçlar,33,182.0,4269,182,
Aurélie Névéol,32,194.0,4257,144,
J. Zucker,32,194.0,6043,141,
Peng Li,32,194.0,4858,72,"Institute for AI Industry Research (AIR), Tsinghua University, China"
R. Aharonov,32,194.0,7294,95,
Longxiang Gao,32,194.0,4612,195,
M. Samwald,32,194.0,6936,134,
Leon Derczynski,32,194.0,5805,145,IT University of Copenhagen
Oyvind Tafjord,32,194.0,8847,69,
Riccardo Miotto,31,202.0,7320,62,
M. Costa-jussà,31,202.0,6151,245,
Stella Biderman,31,202.0,13171,50,Booz Allen Hamilton
Loïc Barrault,31,202.0,9293,104,"Meta AI, The University of Sheffield, Le Mans Université"
E. Konen,31,202.0,4375,122,
Yu Zhang,31,202.0,7203,58,
Yanjun Qi,31,202.0,6969,216,
Marco Lippi,30,209.0,7427,96,
Zhuosheng Zhang,30,209.0,4628,104,Shanghai Jiao Tong University
Fabio Rinaldi,30,209.0,3908,209,"Institute of Computational Linguistics, University of Zurich, Zurich, Switzerland"
Mu Li,30,209.0,3850,81,
Diyi Yang,30,209.0,3721,78,
Chee‐Wee Tan,30,209.0,3287,165,
K. Kumamaru,30,209.0,3425,163,
Nikolaos Tsantalis,30,209.0,3927,66,
P. Wolff,30,209.0,4333,75,
Yongfeng Zhang,29,218.0,3603,51,
Arzucan Özgür,29,218.0,4667,127,
Roy Schwartz,29,218.0,7276,57,The Hebrew University of Jerusalem
Aston Zhang,29,218.0,4897,65,
Yifan Peng,29,218.0,7130,93,Weill Cornell Medicine
Kenneth Heafield,29,218.0,7652,96,
W. Harris,29,218.0,5576,96,
Antonios Anastasopoulos,29,218.0,3320,102,Carnegie Mellon University
Alexis Conneau,29,218.0,22035,60,
W. El-Hajj,29,218.0,2821,105,
Wenpeng Yin,29,218.0,5179,68,
A. Lavelli,29,218.0,3214,151,
Iz Beltagy,29,218.0,15164,50,Allen Institute for Artificial Intelligence (AI2)
J. Reich,29,218.0,3620,138,
Nikolaos Aletras,28,232.0,4022,109,University of Sheffield
Emily M. Bender,28,232.0,8897,130,University of Washington
Hunter Gehlbach,28,232.0,3408,97,
Fangyu Liu,28,232.0,3935,53,Google DeepMind
Margaret E. Roberts,28,232.0,9839,48,
Shijie Geng,28,232.0,3862,59,
Ramakanth Kavuluru,28,232.0,2844,110,
Guoping Hu,28,232.0,4750,87,
E. Ponti,28,232.0,2533,78,
Jack Hessel,28,232.0,5129,58,AI2
Eugenio Martínez-Cámara,28,232.0,2460,84,University of Jaén
E. Klang,28,232.0,2657,165,
Devamanyu Hazarika,27,244.0,9596,54,National University of Singapore
A. Manini,27,244.0,2304,133,
B. Pang,27,244.0,25096,47,
Mustafa Jarrar,27,244.0,2627,107,Birzeit University
H. Dalianis,27,244.0,2977,167,
V. Osmani,27,244.0,3161,121,
John X. Morris,27,244.0,4693,84,University of Virginia
Leonardo Neves,27,244.0,3292,102,
P. Kantor,27,244.0,9564,197,
Yacine Jernite,27,244.0,8580,50,Hugging Face
Alessio Ferrari,27,244.0,2362,114,
Justin Grimmer,26,255.0,5817,91,
M. Sadrzadeh,26,255.0,3104,148,
S. Avestimehr,26,255.0,3463,96,
Vasileios Lampos,26,255.0,4061,72,"Department of Computer Science, University College London"
Prithviraj Sen,26,255.0,7768,116,
Xiaodong Liu,26,255.0,6182,47,
Brandon M Stewart,26,255.0,8861,58,Princeton University
Hao Cheng,26,255.0,4428,56,Microsoft Research
Siddhartha R. Jonnalagadda,26,255.0,2100,80,
Yingqiang Ge,26,255.0,2795,46,
R. Sifa,26,255.0,2558,183,
Chunting Zhou,25,266.0,4554,39,Carnegie Mellon University
Lei Hou,25,266.0,1953,76,Tsinghua University
Mark Johnson,25,266.0,3426,59,
Min Jiang,25,266.0,2587,57,
T. McCoy,25,266.0,2256,107,
Zuohui Fu,25,266.0,2401,47,
Xieling Chen,25,266.0,2687,76,
Stephen H. Bach,25,266.0,8033,52,
Ute Schmid,25,266.0,2104,231,University of Bamberg -- Cognitive System Group
Qian Huang,25,266.0,3183,79,
Harold Soh,25,266.0,2170,82,National University of Singapore
Niranjan Balasubramanian,25,266.0,3437,103,
Katharina Kann,25,266.0,2837,76,
Yankai Lin,25,266.0,3383,60,
Tristan Naumann,25,266.0,6173,55,Microsoft Research Health Futures
Liwei Wang,24,281.0,2656,106,
Glen A. Coppersmith,24,281.0,4229,48,
Bridger Waleed Ammar,24,281.0,4258,52,Holistic Intelligence for Global Good (HIGG)
Ge Zhang,24,281.0,2883,55,01.ai
Yulia Tsvetkov,24,281.0,2709,46,
F. Shen,24,281.0,2900,109,
Thanh Vu,24,281.0,2539,108,
Victor Veitch,24,281.0,3743,45,
T. Chang,24,281.0,1912,121,
A. Callahan,24,281.0,3999,73,
A. Giannopoulos,23,291.0,2853,171,
Tong He,23,291.0,12753,36,
Tianyong Hao,23,291.0,2258,184,South China Normal University
Peter Milder,23,291.0,2560,83,Stony Brook University
Prithviraj Ammanabrolu,23,291.0,2253,37,
Zhijian Liu,23,291.0,6725,32,Massachusetts Institute of Technology
T. Guetterman,23,291.0,3971,150,
Yves Scherrer,23,291.0,1801,91,
Yiming Cui,23,291.0,4262,59,iFLYTEK Research
Yuanjun Guo,23,291.0,1575,82,
Vered Shwartz,23,291.0,2406,49,University of British Columbia
D. Mitsouras,23,291.0,2994,92,
Cyril Grouin,23,291.0,1648,98,
Abdulhadi Shoufan,23,291.0,1899,114,
Sijia Liu,23,291.0,3413,124,Mayo Clinic
Sara Hooker,22,306.0,3896,30,
P. Schwaller,22,306.0,4744,72,
Victor Zhong,22,306.0,6227,41,University of Washington
Junyuan Xie,22,306.0,8270,94,
Emily Pitler,22,306.0,3658,52,
Wangchunshu Zhou,22,306.0,2045,45,AIWaves
A. Abid,22,306.0,2202,101,
Shaoxiong Ji,22,306.0,3823,50,Technical University of Darmstadt
Jannik Strotgen,22,306.0,2745,95,
S. El-Beltagy,22,306.0,2382,98,
R. Batista-Navarro,22,306.0,2002,157,
S. D. Pietra,22,306.0,14592,32,
Samuel Cahyawijaya,22,306.0,5051,58,
W. Zhang,22,306.0,2373,129,
V.G.Vinod Vydiswaran,22,306.0,1697,74,University of Michigan
R. Hegadi,21,321.0,1459,158,
Jingqi Wang,21,321.0,1822,57,
Ruibo Liu,21,321.0,2815,39,Google DeepMind
Zhengbao Jiang,21,321.0,6989,31,
Mikhail Galkin,21,321.0,1831,55,Google Research
Jason Alan Fries,21,321.0,6194,38,Stanford University
F. Aiolli,21,321.0,1848,117,
Yujia Qin,21,321.0,3134,59,
