name,h_index,h_index_rank,composite_score,composite_rank,citation_impact_weighted,breadth_weighted,productivity_weighted,leadership_weighted,quality_weighted,citation_impact_raw,venue_diversity_raw,papers_per_year,leadership_ratio,quality_score,institution
Richard F. Rashid,2,903.0,0.4395000000000001,746.0,0.36800000000000005,0.0015,0.04000000000000001,0.0,0.03,92.0,0.0,2.0,0.0,0.6,
Houda Bouamor,21,321.0,0.4616435271487524,684.0,0.10078947368421053,0.20940304875466323,0.08941176470588236,0.04342105263157895,0.018618187372417352,25.19736842105263,0.8965888500266471,4.470588235294118,0.4342105263157895,0.372363747448347,
Anthony Moi,3,852.0,0.6739857269791742,244.0,0.3972,0.17011906031250754,0.06666666666666668,0.0,0.04000000000000001,99.3,0.946394630357186,3.3333333333333335,0.0,0.8,
Asma Khan,1,945.0,0.2815000000000001,990.0,0.22000000000000003,0.0015,0.020000000000000004,0.0,0.04000000000000001,55.0,0.0,1.0,0.0,0.8,
Minh Chien Vu,6,704.0,0.6803172035639466,227.0,0.4,0.17601818633904,0.03142857142857143,0.02727272727272727,0.04559771852360797,238.45454545454547,0.9629610647945144,1.5714285714285714,0.2727272727272727,0.9119543704721593,
Paolo Torroni,33,182.0,0.559129908458742,498.0,0.07384070796460178,0.241005811327624,0.10044444444444445,0.09601769911504426,0.047821245607027496,18.460176991150444,0.9486046361578516,5.022222222222222,0.9601769911504425,0.9564249121405499,
Waad Alhoshan,8,635.0,0.46919631079301605,671.0,0.12061538461538462,0.18585026581282063,0.043333333333333335,0.07692307692307693,0.042474250108400474,30.153846153846153,0.9848586617875464,2.1666666666666665,0.7692307692307693,0.8494850021680094,
Sumaya Alameri,1,945.0,0.5515000000000001,514.0,0.4,0.0015,0.020000000000000004,0.1,0.03,102.0,0.0,1.0,1.0,0.6,
Z. Bilgrami,8,635.0,0.33670448716315593,967.0,0.031176470588235295,0.17326385050013357,0.09714285714285714,0.017647058823529415,0.01747425010840047,7.794117647058823,0.8443648600007633,4.857142857142857,0.17647058823529413,0.3494850021680094,
C. Bauckhage,46,98.0,0.6546238144095337,289.0,0.11128690807799442,0.2309464148790369,0.2,0.06935933147632312,0.04303115997617928,27.821727019498606,0.8911223707373537,13.807692307692308,0.6935933147632312,0.8606231995235856,
Mario Sanger,3,852.0,0.6853075834417338,217.0,0.4,0.17949999999999997,0.03,0.03333333333333333,0.042474250108400474,744.3333333333334,0.9999999999999998,1.5,0.3333333333333333,0.8494850021680094,
Karthi Sivaraman,3,852.0,0.6369742501084005,336.0,0.4,0.17949999999999997,0.015,0.0,0.042474250108400474,773.0,0.9999999999999998,0.75,0.0,0.8494850021680094,
Zhenzhu Yang,3,852.0,0.6501190603125077,301.0,0.4,0.17011906031250754,0.04000000000000001,0.0,0.04000000000000001,155.25,0.946394630357186,2.0,0.0,0.8,
Ligeng Zhu,19,364.0,0.7204129713599975,134.0,0.4,0.16495773633770774,0.08222222222222222,0.032432432432432434,0.04080058036763515,140.16216216216216,0.822615636215473,4.111111111111111,0.32432432432432434,0.8160116073527028,
Zhijian Liu,23,291.0,0.7573754061408928,88.0,0.4,0.18845043559146693,0.10666666666666667,0.03125,0.03100830388275924,210.15625,0.9397167748083826,5.333333333333333,0.3125,0.6201660776551848,Massachusetts Institute of Technology
Pierre Zweigenbaum,39,138.0,0.4825561048269474,643.0,0.07150148367952523,0.22625283712464966,0.06607843137254903,0.07655786350148369,0.04216548914873974,17.875370919881306,0.8643019264265694,3.303921568627451,0.7655786350148368,0.8433097829747948,
Aurélie Névéol,32,194.0,0.5790164599005424,456.0,0.11825000000000002,0.22020572344566344,0.13714285714285715,0.05902777777777778,0.044390101534244095,29.5625,0.8897469911180769,6.857142857142857,0.5902777777777778,0.8878020306848818,
Annika Marie Schoene,8,635.0,0.4421236720357732,739.0,0.0710909090909091,0.19927342825964,0.0488888888888889,0.07727272727272727,0.04559771852360797,17.772727272727273,0.9929910186265144,2.4444444444444446,0.7727272727272727,0.9119543704721593,University of Hull
Y. Vasiliev,3,852.0,0.34648405535286997,959.0,0.02273684210526316,0.18347694297733655,0.01027027027027027,0.1,0.03,5.684210526315789,0.9198682455847804,0.5135135135135135,1.894736842105263,0.6,
G. Felice,11,542.0,0.33131072600769707,974.0,0.051300000000000005,0.1583891043860754,0.021621621621621623,0.06,0.04000000000000001,12.825,0.810794882206145,1.0810810810810811,0.6,0.8,
Naveed Afzal,19,364.0,0.44886874354060463,725.0,0.13803174603174603,0.2030353176514504,0.045000000000000005,0.026984126984126985,0.03581755287328124,34.507936507936506,0.9373446722940022,2.25,0.2698412698412698,0.7163510574656248,
Dan Roth,5,764.0,0.6721537372878876,252.0,0.4,0.18250000000000002,0.013846153846153848,0.03333333333333333,0.042474250108400474,195.55555555555551,1.0000000000000002,0.6923076923076923,0.3333333333333333,0.8494850021680094,
Yaqi Xie,5,764.0,0.478435098929353,651.0,0.1392,0.18585026581282063,0.03333333333333334,0.08000000000000002,0.04005149978319906,34.8,0.9848586617875464,1.6666666666666667,0.8,0.8010299956639811,
Billel Gueni,6,704.0,0.40621428571428575,833.0,0.15771428571428572,0.181,0.017499999999999998,0.0,0.05,39.42857142857143,1.0,0.875,0.0,1.0,
Dipanjan Sarkar,6,704.0,0.47482765610324884,658.0,0.05536,0.16446765610324887,0.125,0.1,0.03,13.84,0.914100892018565,6.25,1.36,0.6,
Julian R. Medina,3,852.0,0.6728333333333334,249.0,0.4,0.17949999999999997,0.020000000000000004,0.03333333333333333,0.04000000000000001,430.3333333333333,0.9999999999999998,1.0,0.3333333333333333,0.8,
Canwen Xu,18,385.0,0.788591328935435,62.0,0.4,0.17939891237716887,0.12,0.05666666666666667,0.03252574989159953,197.6,0.9137080707266794,6.0,0.5666666666666667,0.6505149978319906,
Daniel J. Feller,11,542.0,0.4583403977188208,694.0,0.13878260869565218,0.18554511713008992,0.046,0.05652173913043478,0.031490932762643906,34.69565217391305,0.9488292407433712,2.3,0.5652173913043478,0.6298186552528781,
Quan.Z Sheng,16,418.0,0.5287832476952855,555.0,0.10114285714285715,0.2247187686943929,0.12444444444444445,0.03392857142857143,0.04454860598501957,25.285714285714285,0.9498215353965308,6.222222222222222,0.3392857142857143,0.8909721197003914,
Chaoyang He,14,455.0,0.4322661936397651,765.0,0.1352857142857143,0.19607822371495304,0.029473684210526315,0.04642857142857143,0.025,33.82142857142857,0.9747327069425888,1.4736842105263157,0.4642857142857143,0.5,
Zhengbao Jiang,21,321.0,0.7512554521885109,98.0,0.4,0.1857429689464456,0.06888888888888889,0.05161290322580645,0.0450106911273699,225.4516129032258,0.9328169654082606,3.4444444444444446,0.5161290322580645,0.9002138225473979,
Manuel R. Ciosici,7,669.0,0.36593548692285827,920.0,0.050749999999999997,0.1739097370312588,0.04000000000000001,0.06875,0.03252574989159953,12.6875,0.9166270687500504,2.0,0.6875,0.6505149978319906,
Shuchang Liu,19,364.0,0.5237484209132764,560.0,0.19461538461538463,0.17161199031838037,0.10400000000000001,0.019230769230769232,0.03429027674874221,48.65384615384615,0.8949256589621735,5.2,0.19230769230769232,0.6858055349748442,
Samuel Cahyawijaya,22,306.0,0.6983730025266724,182.0,0.34834482758620694,0.19765183296203953,0.09666666666666666,0.027586206896551724,0.0281234684152075,87.08620689655173,0.8980104740687973,4.833333333333333,0.27586206896551724,0.56246936830415,
Kenneth Heafield,29,218.0,0.6429427119314117,320.0,0.3188333333333333,0.18938294200476474,0.032,0.07083333333333335,0.03189310325998028,79.70833333333333,0.8593310971700843,1.6,0.7083333333333334,0.6378620651996055,
Victor Sanh,13,473.0,0.6615827586646509,272.0,0.4,0.16941104149293365,0.03272727272727273,0.019444444444444445,0.04000000000000001,329.75,0.9080630942453352,1.6363636363636365,0.19444444444444445,0.8,
Muhammed Yavuz Nuzumlali,3,852.0,0.5068075834417338,590.0,0.244,0.17949999999999997,0.0075,0.03333333333333333,0.042474250108400474,61.0,0.9999999999999998,0.375,0.3333333333333333,0.8494850021680094,
N. Patry,3,852.0,0.6020847828914594,416.0,0.4,0.14497367178034823,0.006,0.011111111111111112,0.04000000000000001,329.22222222222223,0.8112781244591328,0.3,0.1111111111111111,0.8,
Alexandru Salcianu,12,509.0,0.6080640781685103,407.0,0.30000000000000004,0.18394932878783862,0.015454545454545455,0.07058823529411766,0.03807196863200844,75.0,0.9825675930733636,0.7727272727272727,0.7058823529411765,0.7614393726401688,
Korakot Chaovavanich,2,903.0,0.33599999999999997,968.0,0.11599999999999999,0.178,0.012,0.0,0.03,29.0,1.0,0.6,0.0,0.6,
T. Arnold,11,542.0,0.47472603537929126,659.0,0.06983050847457628,0.17346581270579897,0.09076923076923077,0.1,0.04066048342968518,17.45762711864407,0.86266178689028,4.538461538461538,1.0338983050847457,0.8132096685937036,
Peratham Wiriyathammabhum,5,764.0,0.3657399373916526,921.0,0.02826666666666667,0.17867177094178688,0.018750000000000003,0.1,0.04005149978319906,7.066666666666666,0.9352672625244964,0.9375,1.3333333333333333,0.8010299956639811,
Xiuying Chen,16,418.0,0.47314331753353794,662.0,0.0973684210526316,0.18629035071950656,0.1085714285714286,0.03947368421052632,0.04143943297944485,24.342105263157897,0.901659146968609,5.428571428571429,0.39473684210526316,0.8287886595888969,
Marco Lippi,30,209.0,0.6656646575415429,264.0,0.30945833333333334,0.21207783723516221,0.04085106382978723,0.06770833333333334,0.03556908980992675,77.36458333333333,0.9718733556294984,2.0425531914893615,0.6770833333333334,0.7113817961985349,
Zexian Zeng,19,364.0,0.7598474490493216,85.0,0.36723076923076925,0.2047578143255365,0.13,0.04038461538461539,0.01747425010840047,91.8076923076923,0.93004465328878,6.5,0.40384615384615385,0.3494850021680094,
P. Szolovits,13,473.0,0.4093509799853029,826.0,0.16281481481481483,0.19603103923947268,0.022500000000000003,0.007407407407407408,0.020597718523607967,40.7037037037037,0.983034509939844,1.125,0.07407407407407407,0.4119543704721593,
R. Batista-Navarro,22,306.0,0.5778682289077005,458.0,0.05100636942675159,0.23770795920428872,0.18470588235294116,0.05605095541401274,0.04839706250970628,12.751592356687896,0.92975976688165,9.235294117647058,0.5605095541401274,0.9679412501941256,
T. Naumann,3,852.0,0.36334827586206897,930.0,0.1504,0.17949999999999997,0.0034482758620689655,0.0,0.03,37.6,0.9999999999999998,0.1724137931034483,0.0,0.6,
J. Kalita,43,111.0,0.6516468691984899,297.0,0.12170897832817339,0.23901010163304864,0.15380952380952384,0.09256965944272447,0.04454860598501957,30.427244582043343,0.937200580760278,7.690476190476191,0.9256965944272446,0.8909721197003914,
Gwendolyn Halford,3,852.0,0.5357105263157895,542.0,0.4,0.0015,0.004210526315789474,0.1,0.03,209.75,0.0,0.21052631578947367,1.5,0.6,
Khaled Shaalan,50,90.0,0.6906056916282842,199.0,0.1426020761245675,0.23539289837478433,0.180625,0.08477508650519032,0.04721063062374204,35.65051903114187,0.9165308478559104,9.03125,0.8477508650519031,0.9442126124748408,The British University in Dubai
Diksha Khurana,2,903.0,0.5415000000000001,533.0,0.4,0.0015,0.010000000000000002,0.1,0.03,461.0,0.0,0.5,1.0,0.6,
Jack Hessel,28,232.0,0.661713226776564,271.0,0.3537241379310345,0.16956026594566023,0.08923076923076924,0.032758620689655175,0.016439432979444845,88.43103448275862,0.8317729482609157,4.461538461538462,0.3275862068965517,0.3287886595888969,AI2
G. Kitchen,9,599.0,0.40334765702610775,843.0,0.07583333333333334,0.18304462672307736,0.04363636363636364,0.07083333333333335,0.03,18.958333333333332,0.9602550098461564,2.1818181818181817,0.7083333333333334,0.6,
W. Harris,29,218.0,0.5194910493458,570.0,0.23233333333333334,0.1927658241205748,0.051891891891891896,0.0125,0.03,58.083333333333336,0.8529475664032847,2.5945945945945947,0.125,0.6,
R. Collobert,53,77.0,0.8003950362737364,52.0,0.4,0.19650209280850867,0.10444444444444445,0.0624113475177305,0.03703715150305281,267.4255319148936,0.8314405303343353,5.222222222222222,0.624113475177305,0.7407430300610562,
Hannaneh Hajishirzi,74,30.0,0.8588266667459409,30.0,0.4,0.1806742525869962,0.2,0.05154639175257732,0.02660602240636721,146.70103092783506,0.758138586211407,10.777777777777779,0.5154639175257731,0.5321204481273442,
John Giorgi,10,570.0,0.7324716929840932,122.0,0.4,0.17714030001854997,0.06999999999999999,0.04285714285714286,0.042474250108400474,155.57142857142858,0.9265160001059998,3.5,0.42857142857142855,0.8494850021680094,"University of Toronto, Donnelly Centre for Cellular and Biomolecular Research, Vector Institute for Artificial Intelligence"
Wai Pan Wong,1,945.0,0.538,539.0,0.29,0.178,0.04000000000000001,0.0,0.03,72.5,1.0,2.0,0.0,0.6,
Daniel Le'on Perin'an,2,903.0,0.6580000000000001,281.0,0.4,0.178,0.04000000000000001,0.0,0.04000000000000001,1114.5,1.0,2.0,0.0,0.8,
Fadhl Eryani,6,704.0,0.42125942292982343,793.0,0.18933333333333335,0.14097370864410905,0.03428571428571429,0.016666666666666666,0.04000000000000001,47.333333333333336,0.7627069065377661,1.7142857142857142,0.16666666666666666,0.8,
V. D. Pietra,20,350.0,0.6544220684057721,291.0,0.4,0.15737851458698246,0.03176470588235294,0.02962962962962963,0.03564921830680703,646.5185185185185,0.8307343690684712,1.588235294117647,0.2962962962962963,0.7129843661361406,
Holger Schwenk,47,96.0,0.7702653062352687,74.0,0.4,0.23417653682998557,0.02672,0.06946107784431138,0.03990769156097178,229.1377245508982,0.9095802104570604,1.336,0.6946107784431138,0.7981538312194355,
Brandon M Stewart,26,255.0,0.7498779275704286,101.0,0.4,0.2044638231709183,0.06105263157894737,0.05,0.034361472820562865,152.77586206896552,0.9626504181195332,3.0526315789473686,0.5,0.6872294564112573,Princeton University
Abhik Jana,9,599.0,0.38713674394475767,868.0,0.06307692307692307,0.19549550057181503,0.03466666666666667,0.05384615384615385,0.04005149978319906,15.76923076923077,0.9714028604103716,1.7333333333333334,0.5384615384615384,0.8010299956639811,
Glen A. Coppersmith,24,281.0,0.7317311173616883,124.0,0.3524166666666667,0.21565828344561683,0.06,0.05833333333333334,0.04532283391607139,88.10416666666667,0.9751901911178104,3.0,0.5833333333333334,0.9064566783214278,
James H. Martin,40,133.0,0.6807753884893011,225.0,0.2772515337423313,0.24264444054600165,0.03165048543689321,0.08220858895705523,0.047020339807019786,69.31288343558282,0.957968231691438,1.5825242718446602,0.8220858895705522,0.9404067961403957,
A. Thakur,11,542.0,0.5250868838941857,557.0,0.18153846153846154,0.1939330377403395,0.065,0.03461538461538462,0.05,45.38461538461539,0.9710459299447972,3.25,0.34615384615384615,1.0,
J. Reich,29,218.0,0.5681137802659241,472.0,0.10492753623188407,0.2070027658104892,0.11499999999999999,0.09492753623188406,0.0462559419916667,26.231884057971016,0.9000158046313669,5.75,0.9492753623188406,0.925118839833334,
Hulin Wang,6,704.0,0.3231715847592568,981.0,0.0948,0.17720168247694326,0.008695652173913044,0.0,0.042474250108400474,23.7,0.9697238998682473,0.43478260869565216,0.0,0.8494850021680094,
Thomas Wolf,7,669.0,0.4569590958899251,700.0,0.1677037037037037,0.167207461902997,0.06352941176470588,0.018518518518518517,0.04000000000000001,41.92592592592592,0.9211854965885544,3.176470588235294,0.18518518518518517,0.8,
Jianxi Luo,33,182.0,0.5463460770696926,525.0,0.08595348837209303,0.21402532657588363,0.129,0.08759689922480621,0.029770362896909694,21.488372093023255,0.9230018661479066,6.45,0.875968992248062,0.5954072579381938,
A. Abbasi,40,133.0,0.7039604104941433,170.0,0.23927586206896556,0.23695309222354133,0.12210526315789474,0.0663793103448276,0.039246882698914035,59.81896551724138,0.9254462412773792,6.105263157894737,0.6637931034482759,0.7849376539782806,
Tanmay Basu,9,599.0,0.42760180120707836,778.0,0.05986206896551724,0.19694364305270082,0.03866666666666667,0.08965517241379312,0.042474250108400474,14.96551724137931,0.9625351031582904,1.9333333333333333,0.896551724137931,0.8494850021680094,
Soujanya Poria,71,34.0,0.9239402293484237,7.0,0.4,0.21854939878580798,0.2,0.05560165975103735,0.04978917081157844,110.51867219917013,0.8202822787760455,15.0625,0.5560165975103735,0.9957834162315686,
Aditya Malte,3,852.0,0.3887994010005512,863.0,0.05866666666666667,0.17720168247694326,0.024,0.08333333333333334,0.04559771852360797,14.666666666666666,0.9697238998682473,1.2,0.8333333333333334,0.9119543704721593,
Stella Ho,4,809.0,0.3813468569721266,887.0,0.05955555555555556,0.17824810316511194,0.03,0.06666666666666667,0.046876531584792505,14.88888888888889,0.967132018086354,1.5,0.6666666666666666,0.93753063169585,
